gene id,name,3018_5139jL11HMBYSc6ab35_15_8_rem_of_zooids_StageA1to2,2372_5432b1_zooid_naive_stageAtoB,HISeq-Sample_944axbyd196-10,Hm9axByd196.6_4_219_2,2061_L11HMBY15xSC6ab_24_2_zooids,HISeq-Sample_bot_cDNA_15,2336_5139jL11HMBYSc6ab_15_9_vs_944axBYd196_6_4_101,2619_chimera_5432b_vs_5423b_zooid_StageA2,2626_chimera_5432b_vs_5423b_zooid_StageA2,2627_chimera_5432b_vs_5423b_zooid_StageA2,2662_HM9axBYd196_6_4_202_vs_944axBYd196_6_4_103,2390_chimera_L11HM9abld196_4_15_93_vs_944axbyd196_6_4_zooid_without_test,3562_5606b_vs_L11HMBY15xSC6ab_24_6
BHF,BHF,470,464,742,627,82,2073,238,423,444,258,173,447,483
g1.t1,g1,2,14,0,37,0,0,0,0,0,2,0,0,2
g10.t1,g10,0,0,0,4,2,0,0,0,0,0,0,0,0
g100.t1,Klhl10,14,30,10,24,8,139,34,42,24,22,20,76,24
g1000.t1,WDR19,130,34,6,24,66,40,39,90,52,74,56,81,139
g10000.t1,g10000,54,36,39,58,12,203,27,75,4,24,36,108,77
g10001.t1,g10001,18,0,0,0,109,15,0,8,6,0,0,0,33
g10002.t1,g10002,32,0,8,12,0,26,28,36,12,46,24,25,12
g10003.t1,Tspan13,18,28,21,30,118,52,12,128,24,53,51,73,89
g10004.t1,g10004,0,0,0,0,0,0,0,0,0,0,0,0,0
g10005.t1,g10005,2,0,0,0,0,6,0,0,0,0,0,0,0
g10006.t1,Xrn1,22,10,8,14,8,19,10,33,14,24,23,36,44
g10007.t1,g10007,20,2,11,14,56,30,29,54,24,42,58,79,68
g10008.t1,g10008,6,6,6,26,0,115,0,6,4,0,26,36,2
g10009.t1,g10009,73,12,2,4,4,102,0,17,12,2,4,36,3
g1001.t1,g1001,282,152,53,211,188,531,114,63,52,56,102,216,99
g10010.t1,g10010,0,0,0,0,0,0,0,1,0,0,0,0,0
g10011.t1,g10011,18,0,0,0,0,0,0,0,0,0,0,0,2
g10012.t1,Lrrc56,174,36,24,20,14,89,76,57,24,48,37,112,106
g10013.t1,g10013,2,6,6,12,8,30,12,44,34,23,24,76,22
g10014.t1,g10014,70,64,5,79,69,83,26,42,14,41,34,99,80
g10015.t1,FCN1,8,0,0,0,0,14,2,0,0,1,2,10,4
g10016.t1,g10016,24,0,0,2,0,19,0,7,2,0,2,26,0
g10017.t1,g10017,20,6,2,0,0,34,4,8,4,15,4,12,18
g10018.t1,ABCB7,72,28,22,62,92,75,33,166,18,88,39,139,86
g10019.t1,g10019,0,0,0,0,0,6,5,9,2,9,0,0,2
g1002.t1,SLC25A10,48,8,18,54,112,41,14,26,14,18,42,51,38
g10020.t1,g10020,96,109,125,65,144,393,187,469,48,301,385,552,343
g10021.t1,Lhcgr,80,32,2,57,0,107,6,28,20,19,2,36,16
g10022.t1,g10022,6,2,0,3,2,8,0,9,0,3,2,2,16
g10023.t1,g10023,18,2,0,4,0,10,0,0,0,2,0,16,5
g10024.t1,g10024,2,0,0,0,2,0,2,0,0,0,0,8,2
g10025.t1,g10025,0,0,0,1,4,0,0,0,8,0,0,0,2
g10026.t1,ZNF224,0,0,6,2,8,2,2,0,0,0,30,0,6
g10027.t1,ZNF836,0,0,6,0,4,10,0,0,0,0,4,0,6
g10028.t1,g10028,0,0,0,0,4,2,0,0,0,0,0,4,0
g10029.t1,MOXD1,248,254,374,226,22,631,63,494,250,490,187,285,209
g1003.t1,g1003,10,6,10,8,4,46,0,98,22,19,24,64,35
g10030.t1,g10030,0,18,0,0,0,0,0,0,0,0,0,0,0
g10031.t1,g10031,82,35,2,32,15,71,17,54,21,46,23,135,72
g10032.t1,g10032,19,8,4,4,6,4,0,0,6,9,0,26,8
g10033.t1,g10033,36,18,2,6,6,622,6,36,30,48,4,0,0
g10034.t1,g10034,49,60,10,18,14,27,18,111,24,61,31,146,48
g10035.t1,Myo1c,785,336,148,245,148,357,227,566,344,397,346,638,600
g10036.t1,CNTNAP2,108,232,158,49,125,291,32,286,192,491,66,227,118
g10037.t1,g10037,100,11,19,10,0,59,59,76,12,19,53,138,70
g10038.t1,g10038,8,4,5,1,25,14,0,8,3,8,6,0,7
g10039.t1,g10039,138,92,63,110,28,511,100,212,36,103,133,242,140
g1004.t1,g1004,98,12,15,24,0,26,17,55,14,14,33,124,64
g10040.t1,g10040,18,18,1,30,6,22,13,58,4,36,22,25,16
g10041.t1,CYP3A5,114,118,122,106,28,128,10,149,68,94,58,92,72
g10042.t1,g10042,38,26,12,14,16,42,25,35,8,20,16,40,44
g10043.t1,g10043,140,22,18,16,14,66,15,52,14,86,24,110,96
g10044.t1,g10044,10,0,7,4,1,6,11,20,4,19,13,14,17
g10045.t1,Acox1,14,0,53,16,12,48,6,32,12,10,4,25,31
g10046.t1,g10046,18,6,8,2,10,12,12,12,6,0,4,6,16
g10047.t1,DECR2,16,10,16,10,22,1,2,37,4,8,23,8,44
g10048.t1,g10048,8,14,6,8,11,37,8,26,18,12,32,40,42
g10049.t1,g10049,2,0,0,0,0,4,0,0,0,0,0,0,0
g1005.t1,198419728,58,33,40,86,13,181,70,36,14,10,24,48,18
g10050.t1,g10050,0,0,0,4,11,2,0,0,0,4,0,0,4
g10051.t1,AIFM1,66,83,159,66,129,442,54,306,56,86,104,84,184
g10052.t1,Ttn,716,56,25,22,10,503,6,276,110,186,55,277,77
g10053.t1,g10053,53,22,8,27,6,106,20,30,18,30,21,98,30
g10054.t1,198421114,50,36,88,2,0,181,57,257,80,100,60,188,69
g10055.t1,g10055,4,20,0,2,4,3,0,4,2,6,4,1,2
g10056.t1,g10056,8,16,0,2,3,3,0,4,0,0,0,4,0
g10057.t1,g10057,2,36,0,6,0,2,2,14,0,9,6,6,2
g10058.t1,g10058,123,101,19,59,29,209,107,142,47,72,72,186,111
g10059.t1,198433176,24,102,27,16,110,120,2,133,38,72,55,22,39
g1006.t1,g1006,190,16,9,219,16,141,16,92,40,27,34,439,126
g10060.t1,g10060,0,0,0,4,0,2,0,0,2,0,0,8,0
g10061.t1,g10061,4,0,2,8,0,18,4,40,6,2,24,14,24
g10062.t1,g10062,12,14,0,5,4,15,8,9,4,19,6,39,21
g10063.t1,g10063,0,0,0,2,4,0,0,0,0,0,0,0,1
g10064.t1,g10064,235,74,27,96,48,219,68,186,46,134,88,326,182
g10065.t1,g10065,1624,1095,266,240,378,282,445,1103,742,546,548,1164,907
g10066.t1,RBM26,1144,899,164,1017,1351,943,408,810,326,516,771,913,744
g10067.t1,PRDM10,490,208,211,279,107,435,332,324,68,237,389,496,418
g10068.t1,CNTN4,8,8,141,101,62,171,0,38,22,10,8,8,14
g10069.t1,Slco4a1,160,40,6,18,4,58,26,84,42,65,58,68,26
g1007.t1,g1007,88,0,8,75,2,136,0,0,2,0,0,99,24
g10070.t1,g10070,36,2,0,14,4,11,11,10,11,18,22,38,16
g10071.t1,g10071,12,8,0,0,0,0,0,13,2,0,0,2,1
g10072.t1,Sh2b3,184,181,46,80,69,119,69,194,155,73,53,150,234
g10073.t1,UBA5,4,8,10,11,58,0,1,3,0,5,16,14,80
g10074.t1,g10074,0,2,0,2,0,0,0,4,2,18,4,6,0
g10075.t1,FAM154B,62,46,22,4,0,14,37,118,30,33,73,112,179
g10076.t1,g10076,101,58,13,29,48,63,52,186,70,92,31,178,123
g10077.t1,ZDHHC17,67,77,2,31,20,2,24,20,8,34,54,22,73
g10078.t1,g10078,10,24,8,21,2,6,4,48,8,14,2,38,30
g10079.t1,g10079,42,75,9,6,16,16,0,108,44,40,29,82,55
g1008.t1,g1008,30,0,0,6,2,11,0,4,0,2,2,14,8
g10080.t1,g10080,18,4,0,16,2,21,8,40,10,14,25,78,34
g10081.t1,CMPK2,38,18,22,27,22,80,8,52,18,8,33,81,40
g10082.t1,FRMPD4,554,553,51,94,121,201,375,913,390,685,192,683,958
g10083.t1,198430397,446,342,81,150,106,323,72,291,92,246,235,405,235
g10084.t1,g10084,0,0,0,0,0,2,0,0,0,0,0,0,0
g10085.t1,g10085,0,0,0,0,0,2,0,0,0,0,0,0,0
g10086.t1,g10086,4,2,0,8,57,0,6,8,8,10,6,18,12
g10087.t1,g10087,2,0,0,0,0,0,0,6,0,0,0,0,0
g10088.t1,g10088,0,0,0,0,0,0,0,0,0,2,0,0,0
g10089.t1,MED20,2,12,0,4,14,0,0,26,0,8,20,8,14
g1009.t1,g1009,0,0,12,28,4,50,0,0,0,0,0,0,0
g10090.t1,Copb1,420,204,126,130,205,170,155,265,158,203,256,510,525
g10091.t1,g10091,20,8,0,0,4,5,10,4,0,0,2,6,6
g10092.t1,Unc79,34,131,18,34,10,112,10,36,14,12,28,42,22
g10093.t1,WDTC1,42,16,8,16,42,197,22,44,6,22,40,131,56
g10094.t1,MCOLN3,50,34,78,36,36,242,24,173,46,48,122,298,197
g10095.t1,g10095,16,4,14,21,41,140,24,62,16,26,34,45,80
g10096.t1,g10096,68,32,4,14,4,37,8,12,0,8,8,69,24
g10097.t1,g10097,0,6,0,0,0,0,0,0,0,0,0,0,0
g10098.t1,g10098,114,223,12,46,36,26,58,185,62,36,27,284,107
g10099.t1,g10099,4,2,0,0,4,4,2,0,0,4,1,2,2
g101.t1,g101,0,6,0,2,0,2,0,0,4,2,0,2,20
g1010.t1,ZNF160,4,0,0,0,0,18,0,39,6,27,0,16,0
g10100.t1,g10100,4,6,26,10,0,24,4,0,6,1,0,0,0
g10101.t1,g10101,10,0,4,0,2,19,4,11,12,6,3,36,12
g10102.t1,g10102,6,0,0,8,0,15,0,2,0,0,0,2,4
g10103.t1,C20orf118,2,0,2,6,4,20,4,0,0,2,12,27,8
g10104.t1,Fam160b1,116,62,18,45,131,64,25,129,83,103,14,68,76
g10105.t1,NTAN1,14,10,2,0,12,8,6,8,6,9,12,34,14
g10106.t1,g10106,0,0,0,4,10,9,0,3,16,12,0,12,12
g10107.t1,g10107,2,2,0,2,2,14,2,0,0,0,2,0,6
g10108.t1,g10108,116,58,18,49,15,127,55,127,28,91,58,235,172
g10109.t1,g10109,10,56,0,0,2,57,0,88,28,86,14,32,34
g1011.t1,EFHC1,2128,915,113,83,33,222,708,1953,595,1227,514,1031,1034
g10110.t1,g10110,12,39,0,0,4,8,0,28,10,19,2,4,16
g10111.t1,TTC4,43,6,5,16,33,31,6,28,4,10,20,28,26
g10112.t1,g10112,16,32,0,0,2,2,32,24,20,18,10,29,16
g10113.t1,g10113,2,6,0,2,2,8,0,11,0,10,2,18,18
g10114.t1,g10114,12,2,2,0,0,4,0,3,0,0,0,2,3
g10115.t1,g10115,0,0,0,0,0,2,0,2,0,2,0,2,6
g10116.t1,g10116,22,2,2,0,0,6,2,1,1,2,6,38,32
g10117.t1,g10117,0,0,0,2,0,5,0,2,0,0,0,0,0
g10118.t1,g10118,0,20,5,6,0,26,4,0,2,10,2,6,4
g10119.t1,g10119,0,0,2,0,0,2,0,0,0,0,0,0,0
g1012.t1,g1012,53,1,1,2,3,7,3,16,4,6,8,36,19
g10120.t1,g10120,0,0,0,0,0,0,0,0,0,0,0,0,2
g10121.t1,g10121,18,0,0,0,0,0,2,4,6,8,0,19,8
g10122.t1,g10122,54,4,0,6,2,28,4,7,4,2,4,11,4
g10123.t1,g10123,0,0,0,0,0,0,2,0,0,0,0,0,0
